,,,,,,,,,,,,,assay_1,assay_2
Compound,Alias,SMILES,Lot #,Lot Alias,Salt,Solvate,Vendor,PAINS,Bruns-Watson Demerit Score,Assay Count,Plate,Well,percentlabeled,percentlabeled
916887,,NCCSSCCNC(=O)c1ccncc1F,1,40,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,G21,,27.5
917533,,COc1ccc(cc1C(=O)NCCSSCCN(C)C)S(=O)(=O)C,2,1167,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,J15,,27.4
917425,,CN(C)CCSSCCNC(=O)Cc1cc(F)ccc1F,1,580,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,D22,,27.3
917288,,COc1cc(OC)cc(c1)C(=O)N2CCC(CC2)C(=O)NCCSSCCN(C)C,1,443,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,I08,,27.1
917101,,CN(C)CCSSCCNC(=O)c1cc2ccccc2cc1O,1,255,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,D12,,27
917984,,CCOc1cc(cc(OCC)c1OCC)C(=O)N2CCC(CC2)C(=O)NCCSSCCN(C)C,1,1221,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,F04,,27
994365,,CN(C)CCSSCCNC(=O)[C@H]1CN(C[C@@H]1c2ccccc2)C(=O)c3cc(F)c(O)c(Cl)c3,1,DT95-551b,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,I16,,27
994778,,C[C@H](CSSCCN(C)C)C(=O)N1CCC[C@H]1C(=O)NCc2ncc(cc2Cl)C(F)(F)F,1,DT95-captopril-A05,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,F03,,27
916971,,NCCSSCCCC(=O)NCC(c1ccccc1)c2ccccc2,1,124,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,I10,,26.9
917089,,CN(C)CCSSCCNC(=O)c1cccc(c1)C(F)(F)F,1,243,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,B08,,26.9
917667,,CN(C)CCSSCCCNC(=O)C(C)(C)N(C)C(=O)OCc1ccccc1,1,811,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,D03,,26.9
917141,,CN(C)CCSSCCNC(=O)CC1Sc2ccccc2NC1=O,1,295,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,L12,,26.8
917160,,CN(C)CCSSCCCNC(=O)c1cc(C)ccc1O,1,314,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,P10,,26.8
994835,,C[C@H](CSSCCN(C)C)C(=O)N1CCC[C@H]1C(=O)NCCC(F)(F)F,1,DT95-captopril-H08,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,H17,,26.6
